number,classification,field,source_sheet,source_cell,original_value,raw_workbook_cell,normalized_value,reason,action
22,EXPECTED_SOURCE_ABSENCE,daily_report.reserve4_vol,DDR Data,L43,null,null,null,Field 'Reserve 4 Vol (bbls)' not found by any strategy,Retain missing source; supply a measured value only if operationally required.
23,EXPECTED_SOURCE_ABSENCE,daily_report.desilter_vol,DDR Data,L45,null,null,null,Field 'Desilter (bbls)' not found by any strategy,Retain missing source; supply a measured value only if operationally required.
24,EXPECTED_SOURCE_ABSENCE,bulk_material.blend_cmt,DDR Data,I72,null,null,null,Field 'Blend CMT' not found by any strategy,Retain missing source; supply a measured value only if operationally required.
25,EXPECTED_SOURCE_ABSENCE,safety.wind_speed,DDR Data,K70,null,""" Wind Speed (Km/h)""",null,Template anchor K70 has no value,Retain missing source; supply a measured value only if operationally required.
26,EXPECTED_SOURCE_ABSENCE,safety.temperature,DDR Data,K72,null,""" TEMP(°C)""",null,Template anchor K72 has no value,Retain missing source; supply a measured value only if operationally required.
27,EXPECTED_SOURCE_ABSENCE,safety.visibility,DDR Data,K73,null,""" Visibility (km)""",null,Template anchor K73 has no value,Retain missing source; supply a measured value only if operationally required.
28,EXPECTED_SOURCE_ABSENCE,safety.last_fire_drill,DDR Data,M76,null,null,null,Template anchor M76 has no value,Retain missing source; supply a measured value only if operationally required.
29,EXPECTED_SOURCE_ABSENCE,safety.last_h2s_drill,DDR Data,M77,null,null,null,Template anchor M77 has no value,Retain missing source; supply a measured value only if operationally required.
30,EXPECTED_SOURCE_ABSENCE,safety.last_bop_drill,DDR Data,M78,null,null,null,Template anchor M78 has no value,Retain missing source; supply a measured value only if operationally required.
31,VALID_USER_REVIEW,,DDR Remark,R25C1; R25C3; R25C5; R25C7; R25C9; R25C11; R25C13; R25C16; R25C19,"{""time_from"": null, ""time_to"": null}",null,"{""time_from"": null, ""time_to"": null}",Both time anchors are required for persistence,Retain source and review before operational use; do not infer missing identity/measurement.
32,VALID_USER_REVIEW,,DDR Remark,R28C1; R28C3; R28C5; R28C7; R28C9; R28C11; R28C13; R28C16; R28C19,"{""time_from"": null, ""time_to"": null}",null,"{""time_from"": null, ""time_to"": null}",Both time anchors are required for persistence,Retain source and review before operational use; do not infer missing identity/measurement.
33,VALID_USER_REVIEW,,DDR Remark,R33C1; R33C3; R33C5; R33C7; R33C9; R33C11; R33C13; R33C16; R33C19,"{""time_from"": null, ""time_to"": null}",null,"{""time_from"": null, ""time_to"": null}",Both time anchors are required for persistence,Retain source and review before operational use; do not infer missing identity/measurement.
34,VALID_USER_REVIEW,,DDR Remark,R71C1; R71C3; R71C5; R71C7; R71C9; R71C11; R71C13; R71C19,"{""time_from"": null, ""time_to"": null, ""description"": ""Drlg. Parameters: WOB: 20-30klb, Rot:100 RPM, TQ: 2-4 Klb.ft, F.R: 900 GPM, SPP: 600psi, ROP: 15-20 MPH""}",null,"{""time_from"": null, ""time_to"": null}",Continuation row has no independent time anchor; no time was invented,Retain source and review before operational use; do not infer missing identity/measurement.
35,VALID_USER_REVIEW,bop_components.type/component_type,DDR Data,"row 80, column","{""name"": ""Drlg Spool"", ""working_pressure"": 3000.0, ""size"": ""20-3/4\"""", ""rams"": ""-"", ""last_test"": ""1403-07-30"", ""_source_row"": 80, ""_source_cells"": {""bop.name"": ""R80C2"", ""bop.type"": ""R80C3"", ""bop.working_pressure"": ""R80C5"", ""bop.size"": ""R80C6"", ""bop.rams"": ""R80C7"", ""bop.last_test"": ""R80C10""}, ""_source_sheet"": ""DDR Data"", ""_source_file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""_source_location"": {""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 80, ""cells"": {""bop.name"": ""R80C2"", ""bop.type"": ""R80C3"", ""bop.working_pressure"": ""R80C5"", ""bop.size"": ""R80C6"", ""bop.rams"": ""R80C7"", ""bop.last_test"": ""R80C10""}, ""table"": ""bop_components""}}",null,null,Required source field missing; no value invented,Retain source and review before operational use; do not infer missing identity/measurement.
36,VALID_USER_REVIEW,activity,Lookahead,R21C1; R21C2; R21C10; R21C12; R21C13; R21C14,"{""day"": ""2024-10-26"", ""hours"": 24.0, ""date_start"": ""2024-10-26"", ""date_end"": ""2024-10-27"", ""_source_row"": 21, ""_source_cells"": {""lookahead.day"": ""R21C1"", ""lookahead.activity"": ""R21C2"", ""lookahead.hours"": ""R21C10"", ""lookahead.date_start"": ""R21C12"", ""lookahead.date_end"": ""R21C13"", ""lookahead.remarks"": ""R21C14""}, ""_source_sheet"": ""Lookahead"", ""_source_file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""_source_location"": {""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""Lookahead"", ""row"": 21, ""cells"": {""lookahead.day"": ""R21C1"", ""lookahead.activity"": ""R21C2"", ""lookahead.hours"": ""R21C10"", ""lookahead.date_start"": ""R21C12"", ""lookahead.date_end"": ""R21C13"", ""lookahead.remarks"": ""R21C14""}, ""table"": ""lookahead""}}",null,null,Required source field missing: activity; row retained for review,Retain source and review before operational use; do not infer missing identity/measurement.
37,VALID_USER_REVIEW,activity,Lookahead,R22C1; R22C2; R22C10; R22C12; R22C13; R22C14,"{""day"": ""2024-10-27"", ""hours"": 24.0, ""date_start"": ""2024-10-27"", ""date_end"": ""2024-10-28"", ""_source_row"": 22, ""_source_cells"": {""lookahead.day"": ""R22C1"", ""lookahead.activity"": ""R22C2"", ""lookahead.hours"": ""R22C10"", ""lookahead.date_start"": ""R22C12"", ""lookahead.date_end"": ""R22C13"", ""lookahead.remarks"": ""R22C14""}, ""_source_sheet"": ""Lookahead"", ""_source_file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""_source_location"": {""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""Lookahead"", ""row"": 22, ""cells"": {""lookahead.day"": ""R22C1"", ""lookahead.activity"": ""R22C2"", ""lookahead.hours"": ""R22C10"", ""lookahead.date_start"": ""R22C12"", ""lookahead.date_end"": ""R22C13"", ""lookahead.remarks"": ""R22C14""}, ""table"": ""lookahead""}}",null,null,Required source field missing: activity; row retained for review,Retain source and review before operational use; do not infer missing identity/measurement.
38,VALID_USER_REVIEW,survey.azi,DDR Data,"row 58, column","{""md"": 50.0, ""inc"": 0.0, ""_source_row"": 58, ""_source_cells"": {""survey.md"": ""R58C10"", ""survey.inc"": ""R58C11"", ""survey.azi"": ""R58C12"", ""survey.tvd"": ""R58C13"", ""survey.north"": ""R58C14"", ""survey.east"": ""R58C15"", ""survey.vs_hd"": ""R58C17"", ""survey.dls"": ""R58C19"", ""survey.tool"": ""R58C20""}, ""_source_sheet"": ""DDR Data"", ""_source_file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""_source_location"": {""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 58, ""cells"": {""survey.md"": ""R58C10"", ""survey.inc"": ""R58C11"", ""survey.azi"": ""R58C12"", ""survey.tvd"": ""R58C13"", ""survey.north"": ""R58C14"", ""survey.east"": ""R58C15"", ""survey.vs_hd"": ""R58C17"", ""survey.dls"": ""R58C19"", ""survey.tool"": ""R58C20""}, ""table"": ""surveys""}, ""well_id"": 2, ""report_id"": 2, ""section_id"": 2}",null,null,Missing directional measurement; station retained with NULL angle; calculation unavailable,Retain source and review before operational use; do not infer missing identity/measurement.
39,VALID_USER_REVIEW,survey.azi,DDR Data,"row 59, column","{""md"": 108.0, ""inc"": 0.25, ""_source_row"": 59, ""_source_cells"": {""survey.md"": ""R59C10"", ""survey.inc"": ""R59C11"", ""survey.azi"": ""R59C12"", ""survey.tvd"": ""R59C13"", ""survey.north"": ""R59C14"", ""survey.east"": ""R59C15"", ""survey.vs_hd"": ""R59C17"", ""survey.dls"": ""R59C19"", ""survey.tool"": ""R59C20""}, ""_source_sheet"": ""DDR Data"", ""_source_file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""_source_location"": {""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 59, ""cells"": {""survey.md"": ""R59C10"", ""survey.inc"": ""R59C11"", ""survey.azi"": ""R59C12"", ""survey.tvd"": ""R59C13"", ""survey.north"": ""R59C14"", ""survey.east"": ""R59C15"", ""survey.vs_hd"": ""R59C17"", ""survey.dls"": ""R59C19"", ""survey.tool"": ""R59C20""}, ""table"": ""surveys""}, ""well_id"": 2, ""report_id"": 2, ""section_id"": 2}",null,null,Missing directional measurement; station retained with NULL angle; calculation unavailable,Retain source and review before operational use; do not infer missing identity/measurement.
40,VALID_USER_REVIEW,survey.azi,DDR Data,"row 60, column","{""md"": 146.0, ""inc"": 0.25, ""_source_row"": 60, ""_source_cells"": {""survey.md"": ""R60C10"", ""survey.inc"": ""R60C11"", ""survey.azi"": ""R60C12"", ""survey.tvd"": ""R60C13"", ""survey.north"": ""R60C14"", ""survey.east"": ""R60C15"", ""survey.vs_hd"": ""R60C17"", ""survey.dls"": ""R60C19"", ""survey.tool"": ""R60C20""}, ""_source_sheet"": ""DDR Data"", ""_source_file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""_source_location"": {""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 60, ""cells"": {""survey.md"": ""R60C10"", ""survey.inc"": ""R60C11"", ""survey.azi"": ""R60C12"", ""survey.tvd"": ""R60C13"", ""survey.north"": ""R60C14"", ""survey.east"": ""R60C15"", ""survey.vs_hd"": ""R60C17"", ""survey.dls"": ""R60C19"", ""survey.tool"": ""R60C20""}, ""table"": ""surveys""}, ""well_id"": 2, ""report_id"": 2, ""section_id"": 2}",null,null,Missing directional measurement; station retained with NULL angle; calculation unavailable,Retain source and review before operational use; do not infer missing identity/measurement.
41,VALID_USER_REVIEW,type,DDR Data,R10C14; R10C16; R10C17; R10C19; R10C20,"""Limestone""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
42,VALID_USER_REVIEW,type,DDR Data,R11C14; R11C16; R11C17; R11C19; R11C20,"""Salt""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
43,VALID_USER_REVIEW,type,DDR Data,R17C14; R17C16; R17C17; R17C19; R17C20,"""Nut Plug (C)""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
44,VALID_USER_REVIEW,type,DDR Data,R18C14; R18C16; R18C17; R18C19; R18C20,"""Nut Plug (M)""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
45,VALID_USER_REVIEW,type,DDR Data,R19C14; R19C16; R19C17; R19C19; R19C20,"""Nut Plug (F)""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
46,VALID_USER_REVIEW,type,DDR Data,R20C14; R20C16; R20C17; R20C19; R20C20,"""Oyster Shell (C)""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
47,VALID_USER_REVIEW,type,DDR Data,R21C14; R21C16; R21C17; R21C19; R21C20,"""Oyster Shell (M)""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
48,VALID_USER_REVIEW,type,DDR Data,R22C14; R22C16; R22C17; R22C19; R22C20,"""Oyster Shell (F)""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
49,VALID_USER_REVIEW,type,DDR Data,R23C14; R23C16; R23C17; R23C19; R23C20,"""Limestone chips(M)""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
50,VALID_USER_REVIEW,type,DDR Data,R24C14; R24C16; R24C17; R24C19; R24C20,"""Limestone chips(C)""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
51,VALID_USER_REVIEW,type,DDR Data,R25C14; R25C16; R25C17; R25C19; R25C20,"""Limestone chips(F)""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
52,VALID_USER_REVIEW,type,DDR Data,R26C14; R26C16; R26C17; R26C19; R26C20,"""Mica (F)""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
53,VALID_USER_REVIEW,type,DDR Data,R27C14; R27C16; R27C17; R27C19; R27C20,"""Mica (M)""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
54,VALID_USER_REVIEW,type,DDR Data,R28C14; R28C16; R28C17; R28C19; R28C20,"""Mica (C)""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
55,VALID_USER_REVIEW,type,DDR Data,R30C14; R30C16; R30C17; R30C19; R30C20,"""Anti-Foam""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
56,VALID_USER_REVIEW,type,DDR Data,R31C14; R31C16; R31C17; R31C19; R31C20,"""H2S Scavenger""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
57,VALID_USER_REVIEW,type,DDR Data,R32C14; R32C16; R32C17; R32C19; R32C20,"""Citric Acid""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
58,VALID_USER_REVIEW,type,DDR Data,R33C14; R33C16; R33C17; R33C19; R33C20,"""Biocide""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
59,VALID_USER_REVIEW,type,DDR Data,R35C14; R35C16; R35C17; R35C19; R35C20,"""Corrosion Inhibitor""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
60,VALID_USER_REVIEW,type,DDR Data,R36C14; R36C16; R36C17; R36C19; R36C20,"""Oxygen Scavenger""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
61,VALID_USER_REVIEW,type,DDR Data,R37C14; R37C16; R37C17; R37C19; R37C20,"""Pipe Lax""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
62,VALID_USER_REVIEW,type,DDR Data,R39C14; R39C16; R39C17; R39C19; R39C20,"""Drilling Detergent""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
63,VALID_USER_REVIEW,type,DDR Data,R40C14; R40C16; R40C17; R40C19; R40C20,"""Glass Bead (M)""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
64,VALID_USER_REVIEW,type,DDR Data,R41C14; R41C16; R41C17; R41C19; R41C20,"""Kwick Seal (M)""",null,null,No authoritative identity; no default selected,Resolve against the existing authoritative chemical catalogue; keep the product and stock intact.
