review_id,classification,file,source_location,canonical_field,original_value,prior_normalized_value,domain_destination,current_domain_value,reason,source_sufficient,deterministic_auto_resolution,genuine_user_need,current_disposition
11,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 14, ""column"": 5, ""cell"": ""E14""}",drilling_params.bit_serial,null,null,AuditLog.details.source.drilling_params.bit_serial (no dedicated scalar model field),null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
12,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 32, ""column"": 5, ""cell"": ""E32""}",drilling_params.bit_dull_condition,null,null,AuditLog.details.source.drilling_params.bit_dull_condition (no dedicated scalar model field),null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
13,MAPPING_DEFECT,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 9, ""column"": 12, ""cell"": ""L9""}",mud_report.mw,71,null,MudReport.mw,"{""value"": 71, ""unit"": ""PCF""}",71 is accompanied by explicit PCF unit. Previously template ppg hint created an unnecessary unit review; source evidence now resolves 71 PCF.,Yes for correcting extraction/mapping; not for inventing absent measurements,Yes: implemented structural/unit fix,No,RESOLVED: 71 PCF; lineage retained
14,VALID_REVIEW_REQUIRED,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 16, ""column"": 12, ""cell"": ""L16""}",mud_report.fl,"""N.C""",null,MudReport.fl,null,N.C is a source non-measurement marker; no numeric filtration-loss reading can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Yes: verify/correct missing or ambiguous source for operational use,RETAINED
15,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 18, ""column"": 12, ""cell"": ""L18""}",mud_report.cake_thickness,null,null,MudReport.cake_thickness,null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
16,VALID_REVIEW_REQUIRED,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 21, ""column"": 12, ""cell"": ""L21""}",mud_report.oil_percent,"""5""",null,MudReport.oil_percent,"{""oil_percent"": null, ""water_percent"": null}",Combined Oil/Water label contains one magnitude 5; neither the denominator nor which phase it denotes is specified.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Yes: verify/correct missing or ambiguous source for operational use,RETAINED
17,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 22, ""column"": 12, ""cell"": ""L22""}",mud_report.kcl,null,null,MudReport.kcl,null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
18,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 24, ""column"": 12, ""cell"": ""L24""}",mud_report.flowline_temp,null,null,MudReport.flowline_temp,null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
19,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 25, ""column"": 12, ""cell"": ""L25""}",mud_report.pf_mf,null,null,MudReport.pf_mf,null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
20,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 27, ""column"": 12, ""cell"": ""L27""}",mud_report.mbt,null,null,MudReport.mbt,null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
21,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 36, ""column"": 12, ""cell"": ""L36""}",daily_report.mud_lost_downhole,null,null,MudReport.loss_downhole,null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
22,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 43, ""column"": 12, ""cell"": ""L43""}",daily_report.reserve4_vol,null,null,MudReport.pit_volumes_json / import AuditLog (no supplied pit reading),null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
23,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 45, ""column"": 12, ""cell"": ""L45""}",daily_report.desilter_vol,null,null,MudReport.pit_volumes_json / import AuditLog (no supplied pit reading),null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
24,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 72, ""column"": 9, ""cell"": ""I72""}",bulk_material.blend_cmt,null,null,AuditLog.details.source.bulk_material.blend_cmt (no dedicated scalar model field),null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
25,IMPORTER_DEFECT,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 70, ""column"": 11, ""cell"": ""K70""}",safety.wind_speed,""" Wind Speed (Km/h)""",null,AuditLog.details.source.safety.wind_speed (no dedicated scalar model field),null,Nearby Wind Speed label was consumed as a value. Label boundary fixed; actual numeric weather reading remains absent.,Yes for correcting extraction/mapping; not for inventing absent measurements,Yes: implemented structural/unit fix,No for the defect; weather measurements still legitimately missing,"REPLACED by EXPECTED_MISSING_SOURCE review, not suppressed"
26,IMPORTER_DEFECT,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 72, ""column"": 11, ""cell"": ""K72""}",safety.temperature,""" TEMP(°C)""",null,AuditLog.details.source.safety.temperature (no dedicated scalar model field),null,Nearby Temperature label was consumed as a value. Label boundary fixed; actual numeric weather reading remains absent.,Yes for correcting extraction/mapping; not for inventing absent measurements,Yes: implemented structural/unit fix,No for the defect; weather measurements still legitimately missing,"REPLACED by EXPECTED_MISSING_SOURCE review, not suppressed"
27,IMPORTER_DEFECT,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 73, ""column"": 11, ""cell"": ""K73""}",safety.visibility,""" Visibility (km)""",null,AuditLog.details.source.safety.visibility (no dedicated scalar model field),null,Nearby Visibility label was consumed as a value. Label boundary fixed; actual numeric weather reading remains absent.,Yes for correcting extraction/mapping; not for inventing absent measurements,Yes: implemented structural/unit fix,No for the defect; weather measurements still legitimately missing,"REPLACED by EXPECTED_MISSING_SOURCE review, not suppressed"
28,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 76, ""column"": 13, ""cell"": ""M76""}",safety.last_fire_drill,null,null,SafetyReport.last_fire_drill,null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
29,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 77, ""column"": 13, ""cell"": ""M77""}",safety.last_h2s_drill,null,null,SafetyReport.last_h2s_drill,null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
30,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 78, ""column"": 13, ""cell"": ""M78""}",safety.last_bop_drill,null,null,SafetyReport.last_bop_drill,null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
31,VALID_REVIEW_REQUIRED,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Remark"", ""row"": 25, ""cells"": {""time_log.time_from"": ""R25C1"", ""time_log.time_to"": ""R25C3"", ""time_log.duration"": ""R25C5"", ""time_log.main_phase"": ""R25C7"", ""time_log.main_code"": ""R25C9"", ""time_log.sub_code"": ""R25C11"", ""time_log.status"": ""R25C13"", ""time_log.npt_category"": ""R25C16"", ""time_log.activity_description"": ""R25C19""}, ""table"": ""time_logs_24h"", ""cell"": ""R25C1; R25C3; R25C5; R25C7; R25C9; R25C11; R25C13; R25C16; R25C19""}",time_log.time_from/time_to,"{""time_from"": null, ""time_to"": null}","{""time_from"": null, ""time_to"": null}",AuditLog source/reviews; no invented TimeLog24H/TimeLogMorning interval,null,Narrative/time row has no independent from/to anchor. Do not borrow adjacent intervals or manufacture duration.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Yes: verify/correct missing or ambiguous source for operational use,RETAINED
32,VALID_REVIEW_REQUIRED,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Remark"", ""row"": 28, ""cells"": {""time_log.time_from"": ""R28C1"", ""time_log.time_to"": ""R28C3"", ""time_log.duration"": ""R28C5"", ""time_log.main_phase"": ""R28C7"", ""time_log.main_code"": ""R28C9"", ""time_log.sub_code"": ""R28C11"", ""time_log.status"": ""R28C13"", ""time_log.npt_category"": ""R28C16"", ""time_log.activity_description"": ""R28C19""}, ""table"": ""time_logs_24h"", ""cell"": ""R28C1; R28C3; R28C5; R28C7; R28C9; R28C11; R28C13; R28C16; R28C19""}",time_log.time_from/time_to,"{""time_from"": null, ""time_to"": null}","{""time_from"": null, ""time_to"": null}",AuditLog source/reviews; no invented TimeLog24H/TimeLogMorning interval,null,Narrative/time row has no independent from/to anchor. Do not borrow adjacent intervals or manufacture duration.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Yes: verify/correct missing or ambiguous source for operational use,RETAINED
33,VALID_REVIEW_REQUIRED,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Remark"", ""row"": 33, ""cells"": {""time_log.time_from"": ""R33C1"", ""time_log.time_to"": ""R33C3"", ""time_log.duration"": ""R33C5"", ""time_log.main_phase"": ""R33C7"", ""time_log.main_code"": ""R33C9"", ""time_log.sub_code"": ""R33C11"", ""time_log.status"": ""R33C13"", ""time_log.npt_category"": ""R33C16"", ""time_log.activity_description"": ""R33C19""}, ""table"": ""time_logs_24h"", ""cell"": ""R33C1; R33C3; R33C5; R33C7; R33C9; R33C11; R33C13; R33C16; R33C19""}",time_log.time_from/time_to,"{""time_from"": null, ""time_to"": null}","{""time_from"": null, ""time_to"": null}",AuditLog source/reviews; no invented TimeLog24H/TimeLogMorning interval,null,Narrative/time row has no independent from/to anchor. Do not borrow adjacent intervals or manufacture duration.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Yes: verify/correct missing or ambiguous source for operational use,RETAINED
34,VALID_REVIEW_REQUIRED,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Remark"", ""row"": 71, ""cells"": {""time_log_morning.time_from"": ""R71C1"", ""time_log_morning.time_to"": ""R71C3"", ""time_log_morning.duration"": ""R71C5"", ""time_log_morning.main_phase"": ""R71C7"", ""time_log_morning.main_code"": ""R71C9"", ""time_log_morning.sub_code"": ""R71C11"", ""time_log_morning.status"": ""R71C13"", ""time_log_morning.activity_description"": ""R71C19""}, ""table"": ""time_logs_morning"", ""cell"": ""R71C1; R71C3; R71C5; R71C7; R71C9; R71C11; R71C13; R71C19""}",time_log_morning.time_from/time_to,"{""time_from"": null, ""time_to"": null, ""description"": ""Drlg. Parameters: WOB: 20-30klb, Rot:100 RPM, TQ: 2-4 Klb.ft, F.R: 900 GPM, SPP: 600psi, ROP: 15-20 MPH""}","{""time_from"": null, ""time_to"": null}",AuditLog source/reviews; no invented TimeLog24H/TimeLogMorning interval,null,"Genuine drilling-parameters continuation text has no independent time anchor; retain narrative/review, do not invent a time interval.",No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Yes: verify/correct missing or ambiguous source for operational use,RETAINED
35,IMPORTER_DEFECT,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Remark"", ""row"": 76, ""cells"": {""time_log_morning.time_from"": ""R76C1"", ""time_log_morning.time_to"": ""R76C3"", ""time_log_morning.duration"": ""R76C5"", ""time_log_morning.main_phase"": ""R76C7"", ""time_log_morning.main_code"": ""R76C9"", ""time_log_morning.sub_code"": ""R76C11"", ""time_log_morning.status"": ""R76C13"", ""time_log_morning.activity_description"": ""R76C19""}, ""table"": ""time_logs_morning"", ""cell"": ""R76C1; R76C3; R76C5; R76C7; R76C9; R76C11; R76C13; R76C19""}",time_log_morning.time_from/time_to,"{""time_from"": null, ""time_to"": null, ""description"": ""None""}","{""time_from"": null, ""time_to"": null}",RawDocument IR; no phantom review or operational row,null,"Raw row contains whitespace plus a formula-only duration, not a literal None activity. Empty normalization previously generated a phantom review; raw cells remain in IR.",Yes for correcting extraction/mapping; not for inventing absent measurements,Yes: implemented structural/unit fix,No,RESOLVED: formula/whitespace excluded; raw IR retained
36,VALID_REVIEW_REQUIRED,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 80, ""cells"": {""bop.name"": ""R80C2"", ""bop.type"": ""R80C3"", ""bop.working_pressure"": ""R80C5"", ""bop.size"": ""R80C6"", ""bop.rams"": ""R80C7"", ""bop.last_test"": ""R80C10""}, ""table"": ""bop_components"", ""cell"": ""row 80, column""}",bop_components.type/component_type,"{""name"": ""Drlg Spool"", ""working_pressure"": 3000.0, ""size"": ""20-3/4\"""", ""rams"": ""-"", ""last_test"": ""1403-07-30"", ""_source_row"": 80, ""_source_cells"": {""bop.name"": ""R80C2"", ""bop.type"": ""R80C3"", ""bop.working_pressure"": ""R80C5"", ""bop.size"": ""R80C6"", ""bop.rams"": ""R80C7"", ""bop.last_test"": ""R80C10""}, ""_source_sheet"": ""DDR Data"", ""_source_file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""_source_location"": {""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 80, ""cells"": {""bop.name"": ""R80C2"", ""bop.type"": ""R80C3"", ""bop.working_pressure"": ""R80C5"", ""bop.size"": ""R80C6"", ""bop.rams"": ""R80C7"", ""bop.last_test"": ""R80C10""}, ""table"": ""bop_components""}}",null,AuditLog rejected BOP spool; five valid BOPComponent records persist,null,Drilling spool lacks manufacturer/type in source. Function/name must not be substituted for missing component type.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Yes: verify/correct missing or ambiguous source for operational use,RETAINED
37,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""Lookahead"", ""row"": 21, ""cells"": {""lookahead.day"": ""R21C1"", ""lookahead.activity"": ""R21C2"", ""lookahead.hours"": ""R21C10"", ""lookahead.date_start"": ""R21C12"", ""lookahead.date_end"": ""R21C13"", ""lookahead.remarks"": ""R21C14""}, ""table"": ""lookahead"", ""cell"": ""R21C1; R21C2; R21C10; R21C12; R21C13; R21C14""}",activity,"{""day"": ""2024-10-26"", ""hours"": 24.0, ""date_start"": ""2024-10-26"", ""date_end"": ""2024-10-27"", ""_source_row"": 21, ""_source_cells"": {""lookahead.day"": ""R21C1"", ""lookahead.activity"": ""R21C2"", ""lookahead.hours"": ""R21C10"", ""lookahead.date_start"": ""R21C12"", ""lookahead.date_end"": ""R21C13"", ""lookahead.remarks"": ""R21C14""}, ""_source_sheet"": ""Lookahead"", ""_source_file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""_source_location"": {""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""Lookahead"", ""row"": 21, ""cells"": {""lookahead.day"": ""R21C1"", ""lookahead.activity"": ""R21C2"", ""lookahead.hours"": ""R21C10"", ""lookahead.date_start"": ""R21C12"", ""lookahead.date_end"": ""R21C13"", ""lookahead.remarks"": ""R21C14""}, ""table"": ""lookahead""}}",null,AuditLog lookahead review; missing-activity row not persisted,null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
